order_item_id,order_id,product_id,quantity,item_price
274,7736,472,9,414.98
275,9822,415,1,281.92
276,3531,289,4,287.72
277,5086,374,1,254.54
278,8996,309,5,117.99
279,8320,607,5,328.91
280,9144,122,7,50.4
281,2265,347,7,294.32
282,20,633,8,222.89
283,1782,36,6,33.61
284,6858,725,3,219.09
285,4835,453,9,297.71
286,7297,459,5,44.4
287,8749,226,9,152.72
288,2245,891,5,105.22
289,2984,802,3,16.77
290,2726,377,7,45.47
291,4600,573,9,98.59
292,5367,188,1,301.95
293,4888,752,3,471.9
294,197,3,7,330.16
295,5227,6,9,490.32
296,2829,404,4,484.05
297,3989,772,5,262.69
298,5733,613,8,114.85
299,5280,309,4,456.97
300,2470,359,2,270.0
301,1631,839,7,80.17
302,3279,958,2,192.39
303,2039,508,6,170.25
304,5433,465,7,183.29
305,5022,678,8,54.15
306,4331,676,5,233.45
307,6471,802,1,265.39
308,7078,518,3,438.85
309,4762,999,9,36.81
310,5220,384,6,406.33
311,7002,962,5,316.05
312,1388,914,1,483.48
313,642,490,4,415.04
314,5613,539,5,228.19
315,7211,551,2,390.75
316,575,489,5,461.74
317,9914,307,3,250.5
318,9211,275,8,136.79
319,7797,608,1,205.3
320,8592,856,4,214.32
321,4691,162,9,302.78
322,1457,601,1,215.99
323,1596,247,6,302.09
324,8309,536,6,21.41
325,7987,665,2,191.44
326,8575,844,1,335.78
327,2130,862,1,60.11
328,832,243,5,111.39
329,4969,710,5,366.81
330,3482,30,7,332.26
331,2118,481,9,176.14
332,4483,719,4,496.23
333,2007,221,4,158.84
334,8489,566,7,127.36
335,6761,371,9,173.85
336,8911,78,7,376.71
337,5695,120,8,50.73
338,6063,793,7,147.38
339,3080,749,9,305.93
340,5279,510,6,433.1
341,11,893,9,220.98
342,4881,773,3,193.37
343,411,514,4,178.64
344,599,367,9,31.25
345,824,80,2,469.41
346,7877,359,2,26.9
347,5218,191,8,283.14
348,7087,636,6,397.78
349,313,694,5,429.07
350,6672,934,2,96.4
351,6701,636,1,21.11
352,2493,17,3,385.36
353,231,31,6,35.39
354,3741,897,5,221.34
355,44,134,6,180.7
356,7533,223,7,71.45
357,8093,70,7,267.95
358,7279,804,3,79.82
359,3458,392,8,333.83
360,5385,93,8,399.42
361,5616,73,3,119.46
362,5507,982,6,371.37
363,2996,138,9,325.0
364,3639,24,1,138.53
365,7518,447,2,101.6
366,3285,168,2,437.87
367,8363,770,5,104.74
368,4342,276,6,43.9
369,9832,977,3,162.47
370,617,289,4,452.75
371,240,14,2,295.0
372,6053,480,3,360.52
373,6455,438,8,113.32
374,9115,55,5,249.47
375,4888,293,2,396.55
376,1905,728,2,188.06
377,6166,361,4,359.51
378,813,84,9,293.7
379,5000,369,6,170.99
380,7643,902,1,209.74
381,1731,161,4,369.47
382,9024,896,3,375.63
383,3425,306,1,446.27
384,6063,476,6,271.77
385,2208,459,1,224.7
386,3369,740,1,391.6
387,5472,596,7,196.04
388,2228,710,1,298.63
389,7640,200,3,381.37
390,4381,979,5,462.86
391,1821,335,3,444.94
392,8841,342,6,332.02
393,189,179,9,15.16
394,9415,450,2,370.55
395,5222,701,7,168.96
396,8671,156,4,417.57
397,6747,740,6,18.26
398,4613,868,6,61.06
399,1889,172,8,346.45
400,1551,978,7,136.6
401,7060,396,5,162.34
402,5234,211,7,203.12
403,5636,569,6,99.12
404,34,666,5,430.44
405,8488,25,9,48.7
406,1430,476,4,89.21
407,5247,783,7,193.76
408,1988,202,7,191.03
409,6272,871,3,30.68
410,2883,610,8,172.53
411,9902,589,9,383.35
412,1548,464,5,445.82
413,463,437,1,66.34
414,6708,872,1,327.5
415,5306,479,5,463.66
416,514,833,2,153.46
417,5175,369,2,438.89
418,3567,379,6,82.46
419,3804,111,5,431.18
420,3939,123,2,216.24
421,1472,54,5,413.56
422,8004,471,4,109.22
423,338,206,6,39.13
424,7052,167,1,299.93
425,7445,990,3,136.85
426,3413,435,5,404.26
427,2393,788,8,413.27
428,977,960,2,363.1
429,4979,601,8,251.36
430,4069,11,8,461.96
431,9896,383,6,294.82
432,872,474,5,94.13
433,3410,509,7,293.08
434,2590,564,6,290.07
435,1550,725,9,321.86
436,4462,54,2,54.15
437,2622,247,6,345.9
438,2530,581,7,204.64
439,7163,519,1,307.17
440,8352,140,9,460.79
441,6400,898,8,172.63
442,2582,871,5,278.14
443,6566,405,5,386.32
444,7106,506,9,64.99
445,6957,224,2,180.36
446,2935,581,6,72.34
447,2312,347,4,420.66
448,2796,863,4,387.11
449,4329,374,8,161.76
450,6824,204,3,19.5
451,4329,633,8,207.75
452,3589,292,5,13.6
453,3117,277,2,149.62
454,4654,309,5,109.08
455,3748,254,4,120.56
456,6825,659,9,346.37
457,1460,3,6,355.81
458,4431,188,3,354.62
459,2452,337,2,410.98
460,7332,350,7,397.73
461,4091,100,1,315.46
462,8964,457,5,117.34
463,5042,418,5,180.04
464,1112,157,4,208.81
465,9787,202,3,354.94
466,9474,884,9,270.52
467,3586,697,4,372.48
468,7602,329,9,83.64
469,2374,40,7,120.0
470,6843,306,9,33.33
471,8534,715,2,294.64
472,5099,147,2,482.77
473,4724,918,8,274.01
474,2819,242,9,114.12
475,2926,179,2,310.11
476,9465,49,6,341.6
477,710,180,6,291.04
478,6993,891,7,189.18
479,739,662,5,415.72
480,9971,881,3,248.34
481,4591,958,3,494.61
482,6088,751,6,125.46
483,3719,316,1,115.51
484,8202,720,8,42.22
485,5082,209,7,202.47
486,9930,488,7,127.98
487,2579,247,6,417.45
488,1559,519,3,262.38
489,4001,631,9,34.76
490,4546,437,6,181.94
491,5340,543,6,349.33
492,9057,900,6,245.5
493,9993,349,6,179.13
494,2717,519,6,81.82
495,4303,747,4,334.45
496,1810,990,2,92.99
497,5831,387,1,435.78
498,1998,281,8,494.72
499,2932,418,5,278.58
500,2131,801,3,62.97
501,4413,607,9,344.34
502,6514,344,3,70.78
503,2797,894,5,451.44
504,7749,38,2,295.05
505,6324,366,6,401.17
506,6746,381,9,314.33
507,5203,126,1,265.37
508,1556,772,3,264.99
509,8182,176,1,371.01
510,4444,970,5,451.77
511,8523,985,5,113.37
512,4706,101,4,61.37
513,4840,829,5,32.91
514,3959,491,8,434.03
515,4665,193,8,65.58
516,9877,81,6,316.21
517,9163,878,4,160.06
518,747,455,4,283.82
519,2185,334,5,47.05
520,7947,573,5,292.26
521,9577,129,2,439.58
522,5322,6,6,136.64
523,9211,999,7,164.26
524,7149,458,3,112.97
525,2025,21,4,69.27
526,6174,195,9,40.84
527,9735,851,4,336.77
528,2712,28,7,176.5
529,7019,450,2,231.75
530,9647,923,5,164.25
531,7198,492,6,373.44
532,1703,928,2,342.93
533,5530,652,1,334.53
534,7217,833,9,384.12
535,7656,430,7,293.57
536,5418,235,8,53.14
537,6325,424,5,214.29
538,3874,605,5,161.81
539,8314,137,1,174.5
540,9669,82,3,102.02
541,266,318,7,84.7
542,8220,365,9,235.85
543,5379,765,8,485.77
544,2125,740,5,16.03
545,432,400,3,144.84
546,4975,867,9,483.01
547,3778,356,4,181.53
548,7038,452,9,328.99
549,1086,936,3,137.46
550,6196,235,7,273.32
551,6260,35,1,90.9
552,2486,639,5,271.65
553,8293,339,9,242.24
554,5399,956,9,418.24
555,5079,454,6,403.0
556,7203,479,6,95.26
557,3049,859,3,470.44
558,6503,259,9,197.77
559,800,640,1,30.04
560,3823,53,7,42.89
561,5612,612,3,212.24
562,6010,443,2,444.28
563,9488,420,5,82.38
564,5264,706,5,242.93
565,8627,752,2,271.72
566,5571,249,8,446.16
567,9108,293,2,11.14
568,4641,207,8,445.67
569,5334,101,6,138.7
570,8840,215,4,436.39
571,2296,300,3,214.89
572,1432,576,9,167.05
573,5173,435,6,495.03
574,2362,239,5,392.32
575,7542,124,3,245.17
576,724,518,3,189.93
577,1548,737,6,163.12
578,9172,837,4,347.37
579,8276,149,4,211.26
580,1366,57,8,326.68
581,8742,156,2,210.68
582,3854,597,6,188.88
583,4683,536,9,169.21
584,5961,115,3,459.87
585,8344,604,5,384.35
586,7690,331,7,329.28
587,5158,191,1,334.37
588,3499,534,8,95.19
589,2986,366,6,468.11
590,1568,494,4,57.28
591,8404,546,6,115.91
592,6670,249,2,16.97
593,4192,886,4,187.67
594,9719,37,8,157.19
595,7157,297,4,421.85
596,8714,465,5,335.1
597,6518,847,2,397.53
598,5136,221,3,78.61
599,9895,738,3,287.61
600,6752,873,2,247.45
601,8210,811,8,216.08
602,7175,790,3,496.68
603,1720,859,1,226.04
604,8062,486,2,57.91
605,4015,399,8,21.4
606,879,533,1,400.02
607,8786,52,1,9.78
608,6273,772,1,459.38
609,1610,431,8,108.22
610,9068,914,6,441.36
611,6715,839,7,398.13
612,5110,208,4,109.07
613,2449,886,8,418.97
614,2137,419,2,163.98
615,6967,460,9,108.21
616,2054,519,4,111.14
617,7764,169,1,437.49
618,84,650,2,12.23
619,9632,702,8,371.21
620,2669,961,9,402.24
621,5232,140,5,188.42
622,8891,347,4,354.45
623,1821,668,7,453.01
624,4415,58,2,273.99
625,7250,696,7,328.35
626,9291,766,9,351.67
627,6573,658,2,481.01
628,7628,449,8,212.87
629,2895,185,6,281.81
630,3418,178,6,236.24
631,249,983,4,161.27
632,7811,487,9,471.83
633,1891,465,8,247.28
634,7881,127,7,465.72
635,2116,45,5,495.56
636,6582,190,5,429.32
637,3064,362,2,86.77
638,5652,366,5,24.01
639,1807,193,3,273.01
640,7301,567,7,271.39
641,8488,294,9,304.39
642,2695,772,6,33.22
643,5494,527,7,148.33
644,8224,149,7,251.07
645,4651,149,7,259.6
646,8127,251,4,473.56
647,793,435,6,482.93
648,4192,766,7,445.35
649,1090,214,4,128.91
650,8422,620,9,322.26
651,2781,974,9,140.68
652,4498,35,4,475.57
653,790,381,8,255.52
654,4195,772,8,415.04
655,9991,227,2,199.54
656,4458,928,6,193.83
657,6672,220,9,21.68
658,4636,140,8,232.44
659,5962,566,1,323.59
660,6739,798,5,69.28
661,5156,265,5,96.5
662,314,787,9,485.96
663,6634,336,2,367.14
664,233,926,5,454.73
665,5736,961,1,240.69
666,9222,622,8,93.69
667,7850,557,8,87.35
668,2712,279,2,273.12
669,7941,332,1,359.12
670,3345,773,3,458.36
671,2123,724,9,206.55
672,3780,195,7,166.12
673,5655,631,7,467.81
674,9073,706,4,229.54
675,1173,43,5,262.65
676,7318,980,7,227.37
677,7745,258,2,385.28
678,160,688,3,40.23
679,7964,442,3,419.02
680,2130,296,7,199.01
681,3079,611,7,483.13
682,2230,437,6,153.74
683,2918,955,1,237.79
684,3014,708,8,214.09
685,9742,959,4,401.71
686,6327,629,8,337.43
687,1580,676,7,325.19
688,1961,808,1,358.59
689,7903,902,7,479.74
690,6658,398,4,241.59
691,3845,975,5,327.58
692,4698,125,6,343.53
693,2391,497,5,429.25
694,1420,869,2,147.67
695,3918,801,8,404.14
696,4943,364,8,252.13
697,8355,147,5,13.0
698,8308,460,5,80.77
699,7571,171,7,420.48
700,5199,310,2,137.8
701,9663,713,5,152.01
702,6003,979,1,368.9
703,5143,352,4,344.53
704,3853,860,8,227.91
705,543,348,1,366.38
706,8606,892,1,307.15
707,8874,351,4,95.6
708,8834,573,5,142.02
709,3979,996,9,36.78
710,1433,141,5,332.46
711,8861,170,1,32.44
712,7806,225,3,372.65
713,969,746,4,268.74
714,5801,786,7,222.19
715,7846,221,2,300.43
716,9373,365,4,311.68
717,5592,743,8,294.3
718,5384,840,5,358.05
719,7471,113,6,319.85
720,4820,249,3,244.13
721,7633,470,4,415.62
722,3236,449,9,486.97
723,5256,48,2,308.23
724,252,351,3,357.49
725,4301,84,2,256.68
726,7410,676,2,203.44
727,3999,599,9,431.1
728,8983,977,8,101.36
729,5181,173,7,346.7
730,5422,906,9,72.93
731,1496,905,8,384.47
732,7979,942,9,121.15
733,8142,145,2,305.47
734,5379,762,7,73.96
735,2578,451,9,5.3
736,5307,545,9,372.01
737,8134,321,8,438.23
738,1236,148,1,400.77
739,1059,706,3,70.76
740,9363,126,8,121.17
741,3660,912,3,413.09
742,5369,969,4,13.32
743,57,910,2,266.57
744,7473,641,3,418.71
745,2570,675,5,101.64
746,4081,466,6,76.33
747,6378,129,6,94.95
748,1949,683,7,379.03
749,223,837,8,482.78
750,9832,75,6,109.49
751,5218,486,6,58.77
752,9950,768,2,139.06
753,9028,216,3,59.88
754,2537,743,6,7.52
755,2526,237,6,227.65
756,9177,96,6,376.93
757,1358,183,4,159.02
758,4888,912,2,168.85
759,7723,633,8,117.79
760,5983,195,2,70.17
761,4478,250,3,38.05
762,9639,623,1,287.26
763,1372,447,9,383.22
764,3225,72,3,254.32
765,1875,992,2,422.9
766,3362,918,6,233.57
767,6105,952,8,40.26
768,1143,52,4,304.0
769,4310,496,1,358.97
770,8757,977,7,66.09
771,6899,155,3,264.17
772,1589,320,5,152.11
773,4999,301,2,481.46
774,9663,195,8,109.88
775,4343,26,3,342.9
776,3363,227,9,157.76
777,1637,397,1,211.09
778,9665,209,6,414.39
779,6228,414,3,498.6
780,1245,733,4,64.91
781,6915,846,4,232.45
782,5307,798,8,312.03
783,4515,997,9,199.46
784,8451,253,5,70.26
785,2359,428,3,16.82
786,5616,944,9,20.49
787,1269,614,1,251.27
788,9132,265,1,208.5
789,2377,176,3,489.74
790,8388,352,2,456.47
791,3097,184,8,307.56
792,3636,324,5,239.95
793,562,902,1,288.78
794,8232,499,3,234.88
795,9960,193,3,176.62
796,7740,857,2,307.13
797,6872,1000,9,465.53
798,2505,486,1,324.76
799,7022,195,5,92.83
800,5972,21,9,240.56
801,7877,334,3,90.42
802,8980,798,3,64.12
803,4098,569,7,168.18
804,9685,55,1,103.59
805,9322,2,9,467.99
806,6823,304,7,32.65
807,5879,534,8,482.25
808,4510,141,2,421.2
809,6187,89,3,134.33
810,9837,880,9,50.82
811,3561,811,4,285.66
812,5680,587,5,126.9
813,2686,586,9,129.02
814,6613,305,8,289.11
815,4822,748,5,231.54
816,7808,165,2,255.92
817,1413,217,3,162.95
818,1222,364,3,165.49
819,2250,803,7,499.71
820,2240,531,6,199.64
821,4203,284,7,115.37
822,7874,362,8,353.71
823,6894,368,5,392.97
824,8836,441,6,121.44
825,5404,883,1,59.12
826,5186,445,4,150.55
827,4291,939,6,265.0
828,4143,377,4,193.49
829,9578,496,1,81.52
830,7153,188,3,17.17
831,2585,650,3,255.32
832,1602,847,3,435.94
833,4943,864,4,299.74
834,5699,963,9,434.95
835,808,792,9,384.25
836,7346,714,8,174.86
837,8307,384,3,209.53
838,2728,428,2,431.86
839,8166,158,3,354.17
840,4172,745,5,281.9
841,9642,627,7,473.95
842,1569,225,2,28.1
843,9515,557,6,429.15
844,9053,729,2,162.74
845,742,999,1,326.31
846,9923,630,3,457.94
847,6438,828,4,180.25
848,4905,372,2,250.07
849,2934,309,3,164.71
850,4510,359,6,353.6
851,4527,793,9,69.56
852,5910,102,2,377.73
853,5350,460,7,391.44
854,3168,132,1,37.68
855,7607,860,4,202.87
856,2219,724,2,349.92
857,1341,202,4,51.69
858,8010,287,2,397.74
859,4640,147,3,323.03
860,1515,770,8,234.26
861,1412,772,4,51.99
862,7725,847,6,40.32
863,4168,294,9,126.38
864,1023,33,8,396.17
865,2759,18,2,445.56
866,9305,872,2,127.61
867,4809,672,3,155.69
868,9751,992,2,89.23
869,8834,973,3,344.51
870,6734,115,2,18.71
871,4908,208,6,465.78
872,3226,161,9,141.13
873,1015,290,8,386.36
874,6769,819,6,482.46
875,5459,319,4,77.7
876,2022,462,5,66.55
877,2677,559,4,141.54
878,9733,962,5,296.84
879,3107,909,2,5.67
880,8976,52,8,304.93
881,8863,861,1,290.57
882,2585,52,9,27.71
883,4943,171,1,263.91
884,1278,618,5,418.03
885,3044,610,9,153.23
886,7371,445,1,409.98
887,5861,721,1,223.98
888,3783,131,3,421.8
889,7058,734,8,238.13
890,8370,964,3,450.91
891,8468,223,2,457.35
892,3482,315,6,8.2
893,5773,639,5,195.96
894,9617,950,9,444.23
895,5337,837,3,11.9
896,4123,126,4,55.53
897,2961,512,8,218.31
898,7898,130,2,490.27
899,2470,708,5,464.05
900,7052,44,9,294.61
901,4069,384,9,130.04
902,5444,806,9,322.66
903,9783,188,1,164.82
904,4381,244,1,328.44
905,9305,923,1,88.85
906,9261,603,8,302.89
907,2546,894,4,347.36
908,7666,527,9,358.68
909,3650,935,6,488.66
910,1815,934,3,18.0
911,3908,694,8,43.3
912,3732,319,1,304.55
913,7686,954,2,243.85
914,8274,574,8,316.32
915,5870,590,1,348.37
916,8274,274,5,22.01
917,94,763,3,243.83
918,8187,925,2,251.04
919,343,71,4,312.51
920,6941,953,2,182.42
921,2409,998,5,38.68
922,9282,24,8,164.8
923,624,294,4,112.79
924,868,134,7,394.23
925,3473,404,5,440.45
926,171,758,9,91.01
927,9975,938,2,306.6
928,8770,484,2,104.47
929,8260,202,1,416.83
930,1516,534,4,387.0
931,8193,161,8,293.03
932,2199,727,5,162.1
933,902,46,5,491.63
934,5904,498,4,324.98
935,7756,438,7,370.68
936,8987,105,8,440.83
937,2067,682,9,412.75
938,8563,947,6,411.34
939,2539,964,9,130.77
940,3908,85,1,161.38
941,6961,824,3,199.31
942,2597,77,1,458.8
943,9881,554,5,33.33
944,3322,525,8,133.29
945,9331,822,6,224.22
946,7721,908,5,358.98
947,2622,984,1,85.27
948,9358,291,1,256.21
949,9701,339,5,170.87
950,3842,521,5,112.08
951,4559,13,8,35.47
952,4919,534,2,411.91
953,8716,552,7,343.87
954,4340,932,5,144.06
955,239,373,2,197.64
956,1221,476,5,276.31
957,769,127,9,164.01
958,8427,681,5,97.73
959,6331,775,5,109.28
960,7389,734,2,426.08
961,4593,223,9,244.91
962,9712,823,2,238.39
963,7618,971,5,196.86
964,8083,633,2,362.73
965,7580,222,2,415.67
966,9128,591,6,361.68
967,9461,397,3,244.9
968,6457,99,9,104.25
969,9011,483,6,273.21
970,4118,404,2,364.53
971,2440,235,1,209.57
972,9281,186,2,495.46
973,6087,279,6,467.86
974,4825,693,2,466.68
975,9966,805,7,298.82
976,8392,788,7,278.62
977,8370,376,1,269.25
978,5543,403,6,237.3
979,9123,236,5,84.72
980,2037,658,8,439.01
981,9678,68,8,409.75
982,2092,957,9,372.69
983,5551,968,2,346.5
984,4264,814,1,235.91
985,6431,990,6,497.8
986,2385,176,2,223.2
987,6327,532,5,135.01
988,8208,584,1,170.11
989,7664,453,1,359.02
990,9029,617,5,154.06
991,7722,930,6,335.97
992,2158,872,7,356.82
993,9769,519,4,452.92
994,306,818,4,232.58
995,7124,53,5,247.37
996,2054,982,6,39.13
997,5813,329,8,91.89
998,3345,267,9,129.98
999,4457,716,7,466.4
1000,1209,392,3,322.25
1001,1859,32,6,451.6
1002,2704,191,9,159.55
1003,1972,695,6,168.22
1004,1114,187,8,251.85
1005,984,831,8,331.51
1006,2128,401,4,77.82
1007,3640,154,7,90.69
1008,7477,51,7,402.36
1009,561,289,7,431.96
1010,6653,538,8,8.41
1011,4388,278,2,356.27
1012,2933,451,2,182.42
1013,8483,863,6,174.93
1014,1910,334,6,280.84
1015,7231,210,5,378.61
1016,1429,765,2,464.36
1017,948,511,8,10.21
1018,1349,506,3,136.83
1019,8573,482,1,196.86
1020,9897,360,1,43.76
1021,310,703,7,22.58
1022,3415,145,7,496.8
1023,5790,553,6,324.69
1024,9691,76,6,137.87
1025,6569,807,5,190.94
1026,8853,673,6,355.05
1027,3448,288,2,76.88
1028,2274,149,5,215.33
1029,9690,437,2,432.37
1030,2143,704,3,139.28
1031,9798,334,5,90.51
1032,4740,66,1,443.06
1033,9624,177,3,475.26
1034,459,327,6,440.74
1035,7581,975,2,461.56
1036,338,543,3,206.79
1037,5451,860,9,236.83
1038,7381,937,8,312.22
1039,4021,968,3,34.05
1040,8537,199,7,342.48
1041,5644,420,4,273.55
1042,943,74,7,469.04
1043,346,423,5,274.34
1044,3895,111,2,495.55
1045,8517,894,6,484.87
1046,6611,94,1,203.75
1047,2139,877,6,22.05
1048,4390,360,1,404.76
1049,8716,169,3,427.03
1050,7827,297,7,278.71
1051,7817,261,2,367.67
1052,259,725,9,241.15
1053,1111,774,3,318.26
1054,7326,318,3,258.52
1055,6488,272,7,242.53
1056,821,208,1,411.0
1057,5989,344,5,93.84
1058,5636,878,3,215.17
1059,4665,403,1,338.75
1060,7094,83,7,492.87
1061,4605,240,7,288.0
1062,1564,635,9,277.35
1063,6344,677,7,256.47
1064,9400,576,4,30.69
1065,8501,443,3,327.18
1066,1840,609,6,482.11
1067,7676,69,6,362.64
1068,8002,713,2,163.19
1069,9576,469,7,330.18
1070,2307,647,1,254.44
1071,9373,810,9,334.97
1072,5141,921,2,498.77
1073,2687,824,3,306.81
1074,961,943,6,14.53
